ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_002846_action-verbs,,ni umunyabugenegene.,Elle est une artiste talentueuse.,She is a talented artist.,action-verbs,,,,,,,pending
krd_002847_action-verbs,,ni umunyempano atangaje,Elle est une artiste talentueuse.,She is a talented artist.,action-verbs,,,,,,,pending
krd_002848_grammar,,ni ururimi rugoye,C'est une langue difficile.,It's a difficult language.,grammar,,,,,,,pending
krd_002849_action-verbs,,nibaza ko arivyo.,Je pense que oui.,I think so.,action-verbs,,,,,,,pending
krd_002850_grammar,,nicigwa gihambaye,C'est une leçon importante.,This is an important lesson.,grammar,,,,,,,pending
krd_002851_action-verbs,,nifuza amazi,Je veux de l'eau.,I want water.,action-verbs,,,,,,,pending
krd_002852_general,,niga ubuhinga bwa none,J'étudie l'informatique.,I study computer science.,general,,,,,,,pending
krd_002853_action-verbs,,nigira kumakosa yanje.,J'apprends de mes erreurs.,I learn from my mistakes.,action-verbs,,,,,,,pending
krd_002854_action-verbs,,nikibazo kigoye,C'est une question difficile.,This is a difficult question.,action-verbs,,,,,,,pending
krd_002855_emotions,,nikuberiki ushavuye?,Pourquoi es-tu en colère?,Why are you angry?,emotions,,,,,,,pending
krd_002856_proverbs,,nitwa Samandari,Je m'appelle Samandari.,My name is Samandari.,proverbs,,,,,,,pending
krd_002857_emotions,,niyumva neza muri iki gitondo.,Je me sens mieux ce matin.,I feel better this morning.,emotions,,,,,,,pending
krd_002858_emotions,,niyumva neza mwiki gitondo.,Je me sens mieux ce matin.,I feel better this morning.,emotions,,,,,,,pending
krd_002859_vocabulary,,nkeneye ifu n'isukari.,J'ai besoin de farine et de sucre.,I need flour and sugar.,vocabulary,,,,,,,pending
krd_002860_vocabulary,,nkeneye ifu na isukari.,J'ai besoin de farine et de sucre.,I need flour and sugar.,vocabulary,,,,,,,pending
krd_002861_action-verbs,,nkunda gutambuka nyaruka,Je préfère la marche rapide.,I prefer brisk walking.,action-verbs,,,,,,,pending
krd_002862_grammar,,nogiye,je serais parti,I would have gone,grammar,,,,,,,pending
krd_002863_general,,ntaco bitwaye.,Ce n'est pas grave.,It's not serious.,general,,,,,,,pending
krd_002864_emotions,,ntakibazo.,Ne t'inquiète pas.,Don't worry.,emotions,,,,,,,pending
krd_002865_action-verbs,,ntegerezwa kugura umukate,Je dois acheter du pain.,I have to buy bread.,action-verbs,,,,,,,pending
krd_002866_grammar,,ntiwaribwagende,Tu ne l'as encore jamais fait,You have never yet,grammar,,,,,,,pending
krd_002867_grammar,,ntiyaribwagende,Il n'est encore jamais parti,He has never yet gone,grammar,,,,,,,pending
krd_002868_proverbs,,ntukigere ubesha narimwe.,Ne mens jamais.,Never lie.,proverbs,,,,,,,pending
krd_002869_time,,nza kuba ndi aha isaha cumi.,Je serai là à dix heures.,I'll be there at ten o'clock.,time,,,,,,,pending
krd_002870_action-verbs,,papa wanje ni umurimyi.,Mon père est agriculteur.,My father is a farmer.,action-verbs,,,,,,,pending
krd_002871_action-verbs,,reka ndabikosore ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,action-verbs,,,,,,,pending
krd_002872_grammar,,sinaribwagende,Je ne suis encore jamais parti,I have never yet gone,grammar,,,,,,,pending
krd_002873_proverbs,,sinywa ivyambiye.,Je ne bois pas d'alcool.,I don't drink alcohol.,proverbs,,,,,,,pending
krd_002874_action-verbs,,tugiye mukaguriro.,Nous allons au supermarché.,We are going to the supermarket.,action-verbs,,,,,,,pending
krd_002875_proverbs,,turi muri ndamukiza.,Nous sommes en avril.,It's April.,proverbs,,,,,,,pending
krd_002876_action-verbs,,turiko turatambuka bukebuke.,Nous marchons lentement.,We walk slowly.,action-verbs,,,,,,,pending
krd_002877_action-verbs,,twaguranye ibiharuro vyacu,Nous avons échangé nos numéros.,We exchanged numbers.,action-verbs,,,,,,,pending
krd_002878_action-verbs,,twarashitse kuntumbero zacu.,Nous avons atteint nos objectifs.,We have achieved our objectives.,action-verbs,,,,,,,pending
krd_002879_vocabulary,,ubu ni uburiri.,Ceci est un lit.,This is a bed.,vocabulary,,,,,,,pending
krd_002880_action-verbs,,ubutumwa bwanje bwabashikiriye?,Avez-vous reçu mon message?,Did you receive my message?,action-verbs,,,,,,,pending
krd_002881_proverbs,,ukwizegwa kuragoye kuronka.,La confiance est difficile à gagner.,Trust is hard to earn.,proverbs,,,,,,,pending
krd_002882_action-verbs,,umugambi waheze.,Le projet est terminé.,The project is finished.,action-verbs,,,,,,,pending
krd_002883_action-verbs,,umuguzi ntiyashimishijwe,Le client n'est pas satisfait.,The customer is not satisfied.,action-verbs,,,,,,,pending
krd_002884_action-verbs,,umugwi wakoze neza cane,L'équipe a très bien travaillé.,The team worked very well.,action-verbs,,,,,,,pending
krd_002885_vocabulary,,umuriro wo mwifuru yo munzu urorohezenya cane.,Le feu dans la cheminée est confortable.,The fire in the fireplace is cozy.,vocabulary,,,,,,,pending
krd_002886_action-verbs,,umuryango uruguruye.,La porte est ouverte.,The door is open.,action-verbs,,,,,,,pending
krd_002887_action-verbs,,umwana ariko ararira.,Le bébé pleure.,The baby is crying.,action-verbs,,,,,,,pending
krd_002888_language,,uravuga icongereza,Parlez-vous l'anglais?,Do you speak English?,language,,,,,,,pending
krd_002889_vocabulary,,uru ni urupapuro.,Ceci est un papier.,This is a paper.,vocabulary,,,,,,,pending
krd_002890_grammar,,urukundo ntirurondera ivyarwo,L'amour ne cherche pas le sien,Love seeks not her own,grammar,,,,,,,pending
krd_002891_action-verbs,,urutonde rw'ivyigwa ruri ku meza,La liste des cours est sur la table.,The course list is on the table.,action-verbs,,,,,,,pending
krd_002892_proverbs,,uyu muhingamo ni mwiza.,Cette journée est belle.,This day is beautiful.,proverbs,,,,,,,pending
krd_002893_vocabulary,,uyu ni umubikira.,Ceci est un religieuse.,This is a nun.,vocabulary,,,,,,,pending
krd_002894_grammar,,wa wundi mwana,cet autre enfant,that other child,grammar,,,,,,,pending
krd_002895_proverbs,,"wohora uraraba: Iyo atajanye n’abavyeyi mu mirima, asigara ararondera impembo.","C'est beau à voir: quand il ne va pas aux champs avec ses parents,il reste en cherchant de quoi se nourrir.","It's beautiful to see: when he doesn't go to the fields with his parents, he stays looking for something to eat.",proverbs,,,,,,,pending
krd_002896_action-verbs,,woshobora kugura amata?,Peux-tu acheter du lait?,Can you buy milk?,action-verbs,,,,,,,pending
krd_002897_grammar,,yari yaharuwe muri twebwe,Il était compté parmi nous,He was counted among us,grammar,,,,,,,pending
krd_002898_action-verbs,,yiruka buri gatondo,Il court tous les matins.,He runs every morning.,action-verbs,,,,,,,pending
krd_002899_proverbs,,Éjo ní uwŭndi mŭsi.,Demain est un autre jour.,Tomorrow is another day.,proverbs,,,,,,,pending
krd_002900_jokes,,èéeeeh ntùúze, heyyy toi là-bas,heyyy youu there.,jokes,,,,,,,pending
